OBJECTID,REP_DATE,DOW,YEAR,NARCAN_ADM
3314,2019/08/11 04:00:00+00,Sunday,2019,N/A
3315,2021/04/24 04:00:00+00,Saturday,2021,Unknown
3316,2021/04/26 04:00:00+00,Monday,2021,Yes
3317,2021/09/03 04:00:00+00,Friday,2021,Yes
3318,2021/11/03 04:00:00+00,Wednesday,2021,No
3319,2022/02/05 05:00:00+00,Sunday,2022,Yes
3320,2022/02/14 05:00:00+00,Friday,2022,Yes
3321,2022/08/11 04:00:00+00,Tuesday,2022,Yes
3322,2021/02/09 05:00:00+00,Tuesday,2021,No
3323,2022/05/16 04:00:00+00,Monday,2022,N/A
3324,2017/08/27 04:00:00+00,Sunday,2017,N/A
3325,2018/04/27 04:00:00+00,Friday,2018,N/A
3326,2021/05/05 04:00:00+00,Wednesday,2021,Unknown
3327,2021/05/13 04:00:00+00,Thursday,2021,Yes
3328,2018/07/17 04:00:00+00,Tuesday,2018,N/A
3329,2018/06/09 04:00:00+00,Saturday,2018,N/A
3330,2020/09/01 04:00:00+00,Tuesday,2020,N/A
3331,2021/03/11 05:00:00+00,Thursday,2021,Yes
3332,2021/09/27 04:00:00+00,Monday,2021,Yes
3333,2022/10/30 04:00:00+00,Wednesday,2022,Yes
3334,2017/11/03 04:00:00+00,Friday,2017,N/A
3335,2018/05/26 04:00:00+00,Saturday,2018,N/A
3336,2017/09/30 04:00:00+00,Saturday,2017,N/A
3337,2018/08/21 04:00:00+00,Tuesday,2018,N/A
3338,2020/02/04 05:00:00+00,Tuesday,2020,N/A
3339,2020/05/22 04:00:00+00,Friday,2020,N/A
3340,2021/03/26 04:00:00+00,Friday,2021,No
